Mata_Pelajaran|Topik|Nomor_Soal|Pertanyaan|Opsi_A|Opsi_B|Opsi_C|Opsi_D|Opsi_E|Kunci_Jawaban|Pembahasan
Penalaran Umum|Day 4 Sesi 2|17|Pengelola kantin di Sekolah X mengatakan bahwa tingkat penjualan makanan di Sekolah X mengalami penurunan secara drastis dalam satu minggu terakhir ini. Hal ini disebabkan adanya fenomena siswa yang lebih suka membawa bekal sendiri dari rumah. Manakah pernyataan berikut, yang jika benar, akan MEMPERKUAT pernyata- an pengelola kantin di Sekolah X?|Siswa sekolah lain tidak tertarik membawa bekal sendiri dari rumah.|Jumlah siswa yang membawa bekal sendiri dari rumah bertambah bela- kangan ini.|Tidak semua siswa Sekolah X membawa bekal sendiri dari rumah.|Sudah lama, para siswa Sekolah X membawa bekal sendiri.|Pengelola kantin di Sekolah X hanya berjualan pada hari-hari sekolah.|N/A|
Penalaran Umum|Day 4 Sesi 2|18|Dalam beberapa tahun terakhir, banyak program penyelenggaraan karnaval dia- dakan oleh Pemerintah Kota ABC sebagai upaya untuk meningkatkan pariwisata lokal. Seperti halnya panggung yang menyediakan ruang bagi para aktor untuk menampilkan bakat mereka, karnaval ini memberikan wadah bagi masyarakat lokal untuk mengekspresikan kreativitas melalui kostum tarian yang berwarna- warni. Jika pariwisata lokal terus menurun, ekonomi lokal akan terpengaruh dan peluang lapangan kerja akan berkurang. Berdasarkan paragraf tersebut, jika karnaval disamakan dengan panggung, ma- nakah di bawah ini simpulan yang PALING MUNGKIN BENAR?|Wisatawan berkunjung ke Kota ABC hanya karena adanya penyelenggaraan karnaval.|Peningkatan ekonomi lokal disebabkan oleh banyaknya peserta karnaval yang hadir.|Kemajuan pariwisata lokal ditandai dengan banyaknya penyelenggaraan karnaval.|Jika karnaval diselenggarakan, berkurangnya lapangan pekerjaan dapat di- cegah.|Ekonomi Kota ABC tidak akan berkembang tanpa karnaval yang penuh kreativitas.|N/A|
Penalaran Umum|Day 4 Sesi 2|19|Karyawan ingin mengembangkan kariernya di perusahaan, Karena keterbatasan waktu, ia harus memilih antara mengikuti pelatihan keterampilan teknis sesuai pekerjaannya atau mengikuti pelatihan kepemimpinan untuk jenjang karier yang lebih tinggi. Jika mengikuti pelatihan keterampilan teknis sesuai pekerjaannya, ia lebih ahli dan produktif dalam tugas sehari-hari. Namun, jika mengikuti pelatihan kepemimpinan, ia memiliki peluang untuk dipromosikan ke posisi yang lebih tinggi. Berdasarkan bacaan di atas, manakah dari pernyataan berikut ini yang PALING TEPAT menggambarkan keputusan karyawan tersebut?|Jika mengikuti pelatihan keterampilan teknis sesuai pekerjaannya, ia lebih ahli dan produktif dalam tugas sehari-hari maupun dipromosikan ke posisi yang lebih tinggi.|Jika mengikuti pelatihan kepemimpinan, ia tidak lebih ahli dan produktif dalam tugas sehari-hari.|Jika memilih salah satu kegiatan, ia tidak lebih ahli dan produktif dalam tugas sehari-hari dan tidak dipromosikan ke posisi yang lebih tinggi.|Jika ikut keduanya, ia dapat lebih ahli dan produktif dalam tugas sehari- hari atau dipromosikan ke posisi yang lebih tinggi.|Jika mengikuti salah satu kegiatan, ia dapat lebih ahli dan produktif dalam tugas sehari-hari atau dipromosikan ke posisi yang lebih tinggi.|N/A|
Penalaran Umum|Day 4 Sesi 2|20|Untuk bisa menjadi anggota suatu klub diet, peserta harus rutin olahraga. Peser- ta tidak boleh mengonsumsi makanan selain yang ditentukan. X tidak menyukai makanan cepat saji. Kesimpulannya, X pernah menjadi anggota Klub Diet Y. Manakah pernyataan berikut yang menggambarkan kualitas kesimpulan terse- but?|Kesimpulan tersebut dapat dipastikan benar.|Kesimpulan tersebut memiliki kemungkinan benar.|Kesimpulan tersebut dapat dipastikan salah.|Kesimpulan tidak relevan dengan informasi yang diberikan.|Kesimpulan tersebut memiliki kemungkinan salah.|N/A|
Penalaran Umum|Day 4 Sesi 2|21|Koperasi konsumsi mengadakan penjualan sembako murah selama seminggu berturut- turut. Jumlah pembeli sembako murah dari hari ketiga sampai dengan hari ketu- juh berturut-turut adalah 87, 95, 92, 100, dan 97. Jika jumlah pembeli sembako tersebut bersifat konstan sejak hari pertama, jumlah pembeli sembako di hari pertama adalah . . .|79|82|84|86|90|N/A|
Penalaran Umum|Day 4 Sesi 2|22|Perbandingan bahan baku dalam produksi sampo antara air, lidah buaya, dan aroma adalah 15 : 7 : 3. Jika jumlah lidah buaya dan aroma yang digunakan adalah 30 liter, berapa total volume sampo yang dihasilkan?|55 liter|65 liter|75 liter|85 liter|95 liter|N/A|
Penalaran Umum|Day 4 Sesi 2|23|Bilangan yang PALING MENDEKATI hasil pengurangan 9, 39 – 73% adalah . . . 3 3 1 1 1|7|8|8|9|9 4 5 4 5 10|N/A|
Penalaran Umum|Day 4 Sesi 2|24|Diagram garis di bawah menunjukkan data pelatihan tenaga listrik di sebuah lembaga penyedia tenaga kerja terampil dari tahun 2019 sampai tahun 2023. Berdasarkan data dalam diagram tersebut, manakah pernyataan yang PALING TEPAT untuk menggambarkan kondisi pelatihan pada tahun 2024?|Jumlah yang lulus sama dengan jumlah yang gagal.|Jumlah yang lulus lebih besar daripada tahun sebelumnya.|Jumlah yang gagal lebih besar daripada yang lulus.|Jumlah yang gagal lebih besar daripada tahun sebelumnya.|Jumlah peserta lebih besar daripada tahun sebelumnya.|N/A|
Penalaran Umum|Day 4 Sesi 2|25|Diagram garis di bawah menunjukkan data produksi bauksit dan nikel di sebuah perusahaan tambang dari tahun 2019 sampai tahun 2023. Berdasarkan data dalam diagram tersebut, pada tahun berapa produksi nikel memiliki persentase PALING BESAR?|2019|2020|2021|2022|2023|N/A|
Penalaran Umum|Day 4 Sesi 2|26|Di bawah ini adalah jenis makanan yang dibuat saat perlombaan masak antar- RT, yaitu nasi goreng, nasi uduk, mi goreng, mi ayam, dan soto ayam. Jika peserta lomba masak adalah 50 orang, total jumlah peserta yang memasak jenis makanan lebih dari 25% adalah . . .|16|17|26|27|29|N/A|
Penalaran Umum|Day 4 Sesi 2|27|Sebuah Pembangkit Listrik Tenaga Uap (PLTU) mendapat pasokan batu bara selama lima hari berturut-turut sebesar 5, 7, 6, 8, dan 7 ton. Selama kurun waktu tersebut, PLTU menghasilkan daya listrik sebesar 7, 9, 8, 10, dan 9 MWh. Jika tren perubahan tersebut bersifat konstan, berapa MWh daya listrik yang dihasilkan pada hari ke-6?|8|9|10|11|12|N/A|
Penalaran Umum|Day 4 Sesi 2|28|Harga komputer bekas turun 15% dari harga komputer baru. Jika harga kom- puter bekas Rp 8.500.000, 00, berapakah harga komputer baru?|9.500.000, 00|10.000.000, 00|10.500.000, 00|11.000.000, 00|11.500.000, 00|N/A|
Penalaran Umum|Day 4 Sesi 2|29|Bacalah dua informasi berikut! (1) Sebuah kelas memiliki 40 siswa dan rata-rata nilai Matematika mereka ada- lah 75 (2) Terdapat lima siswa yang mendapatkan nilai Matematika yang sempurna (100) Pilihlah informasi yang dapat digunakan untuk menjawab pertanyaan, ”Berapakah rata-rata nilai Matematika dari 35 siswa yang tidak mendapat nilai sempurna?”|Cukup (1)|Cukup (2)|Informasi (1) dan (2)|Menggunakan (1) saja atau (2) saja|Kedua informasi tidak cukup|N/A|
Penalaran Umum|Day 4 Sesi 2|30|Dealer X menjual mobil dan sepeda motor. Keuntungan sepeda motor 1/9 dari penjualan mobil. Berikut laporan penjualan pada lima cabang dealer X per tahun. Cabang dealer X manakah yang mendapatkan keuntungan TERENDAH?|I|II|III|IV|V u k|N/A|
Penalaran Umum|Day 5|1|Apabila tidak dipupuk menggunakan zat ZT, tanaman akan tumbuh kerdil. Fe- nomena tersebut terjadi pada tanaman berbatang keras. Manakah kesimpulan berikut ini yang BENAR?|Tanaman berbatang keras akan tumbuh kerdil jika tidak diberikan pupuk yang mengandung zat ZT.|Tanaman berbatang keras dapat menggunakan pupuk yang mengandung zat ZT agar tumbuh dengan baik.|Semua tanaman akan tumbuh dengan baik jika diberikan pupuk yang meng- andung zat ZT.|Tanaman akan tumbuh dengan baik meskipun tidak diberikan pupuk yang mengandung zat ZT.|Sebagian tanaman harus diberikan pupuk yang mengandung zat ZT, kecuali tanaman berbatang keras.|A|
Penalaran Umum|Day 5|2|Pegawai instansi ABL yang berasal dari luar kota sering datang terlambat. Seba- gian dari mereka lebih suka menggunakan taksi dibandingkan pegawai instansi lain. Berdasarkan informasi di atas, manakah simpulan yang PALING TEPAT? u k|Beberapa pegawai instansi ABL sering datang terlambat dan lebih suka menggunakan taksi dibandingkan pegawai instansi lain.|Beberapa pegawai instansi ABL sering datang terlambat, namun tidak menggunakan taksi dibandingkan pegawai instansi lain.|Pegawai instansi ABL yang berasal dari luar kota menggunakan taksi lebih sering dibandingkan pegawai instansi lain.|Pegawai instansi ABL yang berasal dari luar kota sering datang terlambat dan menggunakan taksi dibandingkan pegawai instansi lain.|Pegawai instansi yang tidak menggunakan taksi dibandingkan pegawai in- stansi lain bukan pegawai instansi ABL.|A|
Penalaran Umum|Day 5|3|Pada liburan tengah semester ini, X ingin mengisi waktu dengan belajar menye- lam atau berlatih berkuda. Temannya mengajak untuk berkemah di gunung. Karena teman yang lain tidak dapat bergabung pada jadwal yang ditentukan, mereka menunda berkemah di gunung pada akhir tahun. Apa yang PALING MUNGKIN dilakukan X pada liburan tengah semester ini?|Belajar menyelam dan juga berlatih berkuda.|Belajar menyelam atau berlatih berkuda.|Berkemah di gunung bersama dengan temannya tersebut.|Belajar menyelam, tetapi tidak berlatih berkuda.|Berlatih berkuda, tetapi tidak belajar menyelam.|B|
Penalaran Umum|Day 5|4|Ketika restoran vegetarian dibuka di Kota XYX, jumlah wisatawan penikmat kuliner meningkat dibandingkan dengan ketika tidak ada restoran tersebut. Hal serupa terjadi ketika diadakan festival makanan vegetarian diselenggarakan di Kota XYX. Namun, ketika Kota XYX mengadakan festival makanan serba da- ging, jumlah wisatawan kuliner tidak meningkat dibandingkan ketika tidak ada festival tersebut. Berdasarkan informasi di atas, manakah dari pernyataan berikut yang PALING MUNGKIN BENAR?|Membuka restoran vegetarian atau mengadakan festival makanan vegetari- an meningkatkan jumlah wisatawan kuliner di Kota XYX.|Meskipun restoran vegetarian dibuka di kota lain, jumlah wisatawan penik- mat kuliner di Kota XYX tetap mengalami peningkatan.|Jumlah wisatawan peminat makanan vegetarian cenderung mengalami pe- nurunan ketika tidak ada restoran vegetarian di Kota XYX.|Mengadakan festival makanan vegetarian di kota lain cenderung akan me- nurunkan jumlah wisatawan kuliner yang datang ke Kota XYX.|Mengadakan festival makanan serba daging akan meningkatkan jumlah wi- satawan dibandingkan tidak mengadakan festival tersebut.|A|
Penalaran Umum|Day 5|5|Akhir-akhir ini, penggunaan pupuk kimia yang meningkat menyebabkan keasam- an tanah makin tinggi. Keasaman tanah yang tinggi menyebabkan kerusakan pada tanah. Meskipun petani sudah menggunakan bibit unggul, pertumbuhan tanaman mereka tidak optimal karena kerusakan yang terjadi pada tanah. Berdasarkan informasi di atas, manakah pernyataan di bawah ini yang BENAR?|Tanaman yang tumbuh kerdil disebabkan oleh penggunaan pupuk yang mengandung bahan kimia.|Kerusakan pada tanah menyebabkan petani menggunakan bibit unggul.|Penggunaan bibit unggul oleh petani menyebabkan peningkatan pengguna- an pupuk kimia.|Tingginya keasaman tanah disebabkan penggunaan bibit unggul oleh peta- ni.|Kerusakan pada tanah disebabkan oleh penggunaan pupuk kimia.|A|
Penalaran Umum|Day 5|6|Pupuk banyak digunakan petani untuk menambah nutrisi tanah dan menyuburk- an tanaman. Selain itu, pupuk juga dapat meningkatkan hasil panen. Namun, penggunaan pupuk yang berlebihan memiliki dampak negatif bagi kelestarian alam dan kesehatan manusia. Penggunaan pupuk yang berlebihan dapat me- ningkatkan pencemaran air dan membuat manusia mengonsumsi residu kimia dari pupuk yang terserap oleh tanaman. Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI SA- LAH?|Petani yang hasil panennya sedikit mungkin tidak menggunakan pupuk.|Pupuk dapat menyebabkan peningkatan ketahanan hama tanaman.|Pencemaran air meningkat karena penggunaan pupuk yang berlebihan.|Manusia dapat mengonsumsi residu kimia karena penggunaan pupuk ber- lebihan.|Penggunaan pupuk yang berlebihan tidak menyebabkan pencemaran air.|E|
Penalaran Umum|Day 5|7|Menginap di vila pegunungan pada akhir pekan banyak dilakukan beberapa ke- luarga karena dapat menampung banyak anggota keluarga dan menghemat biaya liburan. Salah satu vila yang banyak terdapat di pegunungan adalah Vila X yang lokasinya strategis dan memiliki fasilitas sesuai dengan kebutuhan keluarga. Berdasarkan paparan tersebut, manakah simpulan yang PALING TEPAT?|Hanya Vila X yang memberikan biaya hemat pada saat liburan berlangsung.|Semua vila di pegunungan memiliki lokasi yang strategis bagi keluarga.|Vila selain Vila X tidak memiliki fasilitas sesuai kebutuhan keluarga.|Vila yang menampung banyak anggota keluarga pasti lokasinya strategis.|Beberapa orang menyewa Vila X karena dirasa vila tersebut cocok untuk keluarga.|E|
Penalaran Umum|Day 5|8|Tahun ini perkemahan pramuka hanya diikuti sedikit anggota karena banyak anggota tidak diizinkan orang tua. Biasanya, jika perkemahan dilaksanakan di dalam kota, semua anggota pramuka mendapat izin orang tua untuk ikut berkemah. Berdasarkan pernyataan di atas, manakah simpulan yang BENAR?|Perkemahan tidak dilaksanakan di dalam kota.|Perkemahan akan dilaksanakan di dalam kota.|Perkemahan diikuti semua anggota pramuka.|Semua anggota pramuka mendapat izin orang tua.|Perkemahan hanya dilakukan di luar kota. 9. Siswa ABC berhasil meraih medali emas dalam kompetisi riset nasional berkat dukungan pihak sekolah dan ketekunannya dalam melakukan penelitian. Kete- kunannya tersebut terlihat dari keseriusannya mendalami topik riset dan kon- sistensinya mengerjakan sesuai jadwal. Selain itu, dukungan dari pihak sekolah menyebabkan siswa lebih percaya diri dalam melakukan riset yang terlihat dari kemampuan berpikir kritis dalam menelaah masalah penelitian dan keterampilan mempresentasikan hasil penelitiannya. Jika Siswa ABC mampu berpikir kritis dalam mempertanyakan masalah peneli- tian, manakah kesimpulan di bawah ini yang PALING MUNGKIN BENAR? (a) Tekanan untuk meraih medali emas membuat Siswa ABC harus percaya diri. (b) Siswa ABC tekun dalam menyelesaikan semua aktivitas penelitian. (c) Siswa ABC konsisten dalam melakukan kegiatan penelitian sesuai jadwal. (d) Siswa ABC mampu memusatkan diri dalam mendalami topik riset. (e) Siswa ABC mendapat dukungan penuh dari sekolah untuk melakukan riset.|A|
Penalaran Umum|Day 5|10|Lemari penuh buku yang ada di ruang baca rumah ini nampak rapi saat setahun lalu ketika ditinggal kakak merantau. Saat ini, buku-buku tersebut banyak yang dimakan rayap dan beberapa di antaranya lapuk. Manakah pernyataan berikut yang PALING MUNGKIN menjelaskan perbedaan kedua kondisi tersebut?|Buku-buku tersebut sudah rusak sejak lama sebelum anaknya merantau.|Pemilik rumah tidak memperbaiki buku-buku yang rusak sebelum kakak merantau.|Buku-buku di ruang baca sering dipinjamkan pada orang lain selama seta- hun terakhir.|Pada awal ruang baca ditinggalkan kakak, tidak ada rayap yang ada di rumah.|Setelah ditinggal kakak merantau, buku-buku tersebut jarang dirawat dan dibaca.|E|
Penalaran Umum|Day 5|11|Sebagian warga daerah perkotaan XY membuat bilik pengolahan sampah mandi- ri. Banyak dari mereka yang menggunakan produk daur ulang dalam kehidupan sehari-hari. Peneliti berargumen bahwa hal tersebut dapat mengatasi masalah sampah di daerah perkotaan XY. Berdasarkan tulisan di atas, manakah yang PALING MUNGKIN mendasari ar- gumen peneliti?|Pengolahan sampah berkelanjutan diterapkan di daerah perkotaan XY.|Pengolahan sampah membutuhkan dukungan pemerintah.|Pengolahan sampah dilakukan dengan partisipasi warga.|Warga kota senang dengan berkurangnya sampah yang berserakan.|Berbeda jenis sampahnya, berbeda pula cara mengolahnya.|D|
Penalaran Umum|Day 5|12|Profesor 1 menyatakan bahwa iklim bisnis perdagangan di Kota A lebih kondusif dibandingkan Kota B. Profesor 2 menyatakan bahwa Kota B tidak sedang memp- rioritaskan perdagangan sebagai komoditas utama kotanya. Fakta menyatakan bahwa Kota A dan Kota B sedang bersaing menjadi pusat bisnis nasional. Manakah pernyataan yang PALING TEPAT berdasarkan fakta tersebut? u k|Memperkuat pernyataan Profesor 1.|Memperlemah pernyataan Profesor 1.|Memperkuat pernyataan Profesor 2.|Memperlemah pernyataan Profesor 2.|Tidak relevan dengan pernyataan Profesor 1 dan Profesor 2.|D|
Penalaran Umum|Day 5|13|Naik gunung bermanfaat untuk meningkatkan kesehatan jiwa raga karena me- latih kekuatan fisik dan mental. Selain itu, naik gunung juga meningkatkan kecintaan pada alam dan sikap menghargai sesama. Meskipun begitu, naik gu- nung saat musim hujan menimbulkan efek negatif, seperti penurunan suhu tubuh secara drastis yang dapat meningkatkan risiko kematian. Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI BE- NAR?|Beberapa masalah kesehatan disebabkan oleh kegiatan naik gunung saat musim hujan.|Kegiatan naik gunung dapat membuat suhu tubuh seseorang menjadi turun drastis.|Beberapa orang yang suhu tubuhnya mudah turun akan menghindari kegi- atan naik gunung.|Orang yang kurang mencintai alam disarankan melakukan kegiatan berupa naik gunung.|Orang yang ingin melatih kekuatan fisik dan mental biasanya sering naik gunung.|A|
Penalaran Umum|Day 5|14|Warga Desa ABC menggunakan metode yang diturunkan dari generasi ke ge- nerasi untuk memprediksi cuaca. Mereka memprediksi musim hujan melalui burung-burung yang berdatangan di sekitar desa. Hal ini membuat mereka da- pat mempersiapkan waktu musim tanam dan panen. Jika prediksi mereka benar terjadi, warga desa akan mengadakan ritual berupa bersantap makan bersama. lalu akurat setiap tahun. Berdasarkan catatan, prediksi warga desa mengenai datangnya musim hujan se- Berdasarkan paragraf di atas, manakah di bawah ini pernyataan yang PALING MUNGKIN BENAR mengenai Desa ABC?|Warga Desa ABC mampu memprediksi musim hujan lebih baik daripada ahli meteorologi.|Jika burung tidak terlihat di sekitar desa, Desa ABC akan mengalami cuaca panas.|Sebelum banyak burung datang ke Desa ABC, warga desa tidak bisa memp- rediksi musim hujan.|Jika hujan tidak datang, ritual warga Desa ABC tidak diadakan.|Warga Desa ABC akan mengadakan kegiatan bersantap makan bersama setiap tahun.|E|
Penalaran Umum|Day 5|15|Pengusaha X ingin mengubah konsep kafe yang dikelolanya. Ia dihadapkan pa- da dua pilihan. Konsep P memiliki pangsa pasar yang besar, tetapi keuntungan yang didapat kecil. Konsep Q memiliki pangsa pasar yang terbatas, tetapi keun- tungannya lebih besar. Pengusaha X akhirnya memilih konsep P untuk meng- hindari risiko kerugian yang cukup besar. Manakah yang PALING MEMPERKUAT keputusan pengusaha tersebut?|Pengusaha X ingin mendapatkan keuntungan yang rutin meskipun jumlah- nya kecil.|Pengusaha X ingin membangun bisnis kafe dengan ukuran yang sangat be- sar.|Konsep P lebih cocok diterapkan untuk menyasar penikmat kopi kelas me- nengah.|Konsep Q mudah diterapkan bagi pengusaha yang ingin membangun bisnis kafe.|Pengusaha X memiliki strategi khusus agar sukses untuk memasarkan ka- fenya.|A|
Penalaran Umum|Day 5|16|Komposisi dan kualitas bahan dinilai sebagai faktor yang mendukung ketahanan wangi parfum ketika dipakai di tempat terbuka. Konsumen mengatakan bahwa aroma parfum merek X cepat hilang dibandingkan dengan merek Y. Manakah pernyataan di bawah ini yang PALING MEMPERLEMAH pendapat konsumen?|Parfum merek X dibuat menggunakan bahan asli pilihan.|Sebelum diproduksi massal, parfum Y telah teruji dengan baik.|Sedikit artis terkenal yang mempromosikan penggunaan parfum X.|Testimoni konsumen terhadap kualitas parfum Y sangat positif.|Ada banyak bahan yang dapat dipakai untuk membuat parfum yang harum.|A|
Penalaran Umum|Day 5|17|Manajer Keuangan PT X mengatakan bahwa keuntungan di PT X mengalami kenaikan secara berarti dalam satu tahun belakangan ini. Hal ini disebabkan perusahaan telah berhasil menambah kerja sama dengan pemerintah daerah. Manakah pernyataan berikut, yang jika benar, akan MEMPERKUAT pernyata- an Manajer Keuangan PT X?|Perusahaan-perusahaan lain tidak memiliki kerja sama dengan pemerintah daerah.|Program PT X hanya berfokus pada produktivitas kerja pegawai.|Tidak semua pemerintah daerah bekerja sama dengan PT X.|Sejak dulu, perusahaan PT X bekerja sama dengan pemerintah daerah.|Jumlah kerja sama dengan pemerintah daerah meningkat akhir-akhir ini.|E|
Penalaran Umum|Day 5|18|Dalam beberapa bulan terakhir, banyak klinik di daerah ABC mulai mempro- mosikan tanaman rimpang kepada pasien sebagai upaya untuk meningkatkan sistem kekebalan tubuh mereka. Seperti halnya antivirus yang melindungi kom- puter dari program jahat, tanaman rimpang dapat melindungi tubuh dari penya- kit dengan memperkuat sistem kekebalan tubuh sehingga pasien menjadi lebih tahan terhadap berbagai penyakit. Jika kekebalan tubuh masyarakat menurun, risiko terserang penyakit akan meningkat dan sproduktivitas masyarakat akan menurun. Berdasarkan paragraf tersebut, jika tanaman rimpang disamakan dengan antivi- rus, manakah di bawah ini simpulan yang PALING MUNGKIN BENAR?|Kekebalan tubuh masyarakat akan meningkat hanya jika mengonsumsi ta- naman rimpang.|Jika promosi tanaman rimpang dilakukan, penurunan produktivitas dapat dicegah.|Komputer yang tidak dilindungi oleh antivirus akan menurunkan produk- tivitas masyarakat.|Tanaman rimpang seperti antivirus yang memperkuat sistem kekebalan tu- buh.|Banyaknya pasien yang berkunjung ke klinik ditandai dengan banyaknya promosi tanaman rimpang.|B|
Penalaran Umum|Day 5|19|(SKIP)||||||N/A|
Penalaran Umum|Day 5|20|(SKIP)||||||N/A|
Penalaran Umum|Day 5|21|Seorang petani menanam pohon jagung selama seminggu. Jumlah pohon ja- gung yang ditanam dari hari pertama sampai dengan hari kelima berturut-turut adalah 34, 42, 39, 47, dan 44. Jika jumlah pohon jagung yang ditanam tersebut bersifat konstan sejak hari pertama, jumlah pohon jagung yang ditanam pada hari ketujuh adalah.....|51|50|49|47|45|C|
Penalaran Umum|Day 5|22|Perbandingan bahan baku dalam produksi sampo antara air, lidah buaya, dan aroma adalah 15 : 7 : 3. Jika jumlah lidah buaya dan aroma yang digunakan adalah 30 liter, berapa total volume sampo yang dihasilkan?|55 liter|65 liter|75 liter|85 liter|95 liter|C|
Penalaran Umum|Day 5|23|Bilangan yang PALING MENDEKATI hasil pengurangan 9, 39 – 73% adalah ....|7 24|8 35|8 14|9 15|9 10|B|
Penalaran Umum|Day 5|24|Diagram garis di bawah menunjukkan data rekrutmen pramuniaga di sebuah supermarket dari tahun 2019 sampai tahun 2023. u k Berdasarkan data dalam diagram tersebut, manakah pernyataan yang PALING TEPAT untuk menggambarkan kondisi proses rekrutmen pada tahun 2024?|Jumlah yang diterima sama dengan tahun 2023.|Jumlah yang ditolak lebih besar daripada tahun 2023.|Jumlah yang diterima lebih besar daripada tahun 2023.|Jumlah yang ditolak lebih kecil daripada tahun 2023.|Jumlah yang ditolak sama dengan tahun 2023.|C|
Penalaran Umum|Day 5|25|Diagram garis di bawah menunjukkan data volume impor produk migas dan nonmigas di sebuah provinsi dari tahun 2019 sampai tahun 2023. Berdasarkan data dalam diagram tersebut, pada tahun berapa volume impor produk migas memiliki persentase PALING BESAR?|2019|2020|2021|2022|2023|A|
Penalaran Umum|Day 5|26|Di atas ini adalah jenis pertunjukan seni yang ditampilkan oleh siswa kelas 6 saat dan drama. ujian praktek, yaitu menyanyi, membaca puisi, menari, memainkan alat musik, Jika total siswa kelas 6 adalah 50 orang, total jumlah siswa yang menampilkan pertunjukan kurang dari 20% adalah . . .|8|11|16|23|26|B|
Penalaran Umum|Day 5|27|Sebuah usaha pembuat akuarium selama lima hari berturut-turut membeli kaca sebanyak 4, 6, 8, 10, dan 12 lembar. Kaca tersebut dipotong untuk membuat akuarium sebanyak 5, 8, 9, 12, dan 13 buah. Jika tren perubahan tersebut bersifat konstan, berapa buah akuarium dihasilkan pada hari ke-6?|14|15|16|17|18|C|
Penalaran Umum|Day 5|28|Harga sofa bekas 20% lebih rendah dari harga sofa baru. Jika harga sofa bekas adalah Rp1.600.000, 00, berapakah harga sofa baru?|Rp2.000.000, 00|Rp2.100.000, 00|Rp2.200.000, 00|Rp2.400.000, 00|Rp2.500.000, 00|A|
Penalaran Umum|Day 5|29|Bacalah dua informasi berikut! (1) Sebuah universitas memiliki 1.200 mahasiswa. Sebanyak 720 mahasiswa terdaftar dalam setidaknya satu klub mahasiswa. (2) Setiap klub mahasiswa rata-rata memiliki 30 hingga 80 anggota dengan beberapa mahasiswa terdaftar di lebih dari satu klub. Pilihlah informasi yang dapat digunakan untuk menjawab pertanyaan, ”Berapa- kah jumlah minimal klub mahasiswa di universitas tersebut?”|Cukup (1).|Cukup (2).|Informasi (1) dan (2).|Menggunakan (1) saja atau (2) saja.|Kedua informasi tidak cukup.|C|
Penalaran Umum|Day 5|30|Pada acara sidang terbuka Dies Natalis Universitas X, masing-masing fakultas diminta mengirimkan wakilnya yang terdiri dosen dan mahasiswa. Jumlah do- sen 1/5 dari jumlah mahasiswa di setiap fakultas. Berikut jumlah dosen dan mahasiswa di lima fakultas. Fakultas Jumlah Dosen Mahasiswa K 25 65 L 20 60 M 15 65 N 35 55 O 60 50 Fakultas manakah yang memiliki kesempatan mengirimkan wakilnya PALING BANYAK?|K|L|M|N|O u k|E|
Penalaran Umum|Day 6|1|Apabila tidak disiram di pagi hari, bunga di pot akan mati. Fenomena tersebut terjadi pada bunga keladi hias. Manakah simpulan berikut yang BENAR?|Semua bunga di pot tumbuh subur meskipun tidak disiram di pagi hari.|Bunga keladi hias akan mati jika tidak disiram di pagi hari.|Semua bunga di pot tumbuh subur jika disiram di pagi hari.|Menyiram bunga sebaiknya dilakukan di pagi hari agar tumbuh subur.|Beberapa bunga sebaiknya disiram di pagi hari, kecuali bunga keladi hias.|B|
Penalaran Umum|Day 6|2|Petani buah XYZ yang mendapat sertifikasi dari pemerintah menggunakan pu- puk organik. Sebagian dari mereka menyediakan buah yang lebih bervariasi dibandingkan toko buah lain. Berdasarkan informasi di atas, manakah simpulan yang PALING TEPAT?|Petani buah XYZ yang mendapat sertifikasi dari pemerintah menyediakan buah yang lebih bervariasi dibandingkan toko lain.|Beberapa petani buah XYZ menggunakan pupuk organik, tetapi tidak me- nyediakan buah yang lebih bervariasi dibandingkan toko lain.|Petani buah XYZ yang mendapat sertifikasi dari pemerintah menggunakan pupuk organik dan menyediakan buah yang lebih bervariasi dibandingkan toko lain.|Beberapa petani buah XYZ menggunakan pupuk organik dan mereka me- nyediakan buah yang lebih bervariasi dibandingkan toko lain.|Sebagian petani yang tidak menyediakan buah yang lebih bervariasi diban- dingkan toko lain bukan petani buah XYZ.|D|
Penalaran Umum|Day 6|3|X akan mengikuti wawancara kerja pagi ini. Ia akan menumpang kendaraan ayah atau pergi naik angkutan umum. Kakaknya menawarkan untuk mengantarnya naik sepeda motor. Karena hujan turun sejak malam, kakaknya membatalkan tawarannya. Apa yang PALING MUNGKIN dilakukan X untuk pergi ke lokasi wawancara?|Menumpang kendaraan ayah dan naik angkutan umum.|Menunggu sepeda motor kakaknya sampai dapat dipakai.|Menumpang kendaraan ayah, tetapi tidak naik angkutan umum.|Menaiki angkutan umum, tetapi tidak menumpang kendaraan ayah.|Menumpang kendaraan ayah atau naik angkutan umum.|E|
